,Brand,Smartphone name,Product Color,RAM,Internal Storage,Primary Camera,Secondary Camera,Display Size,Battery Capacity,Price,Product URL
0,OPPO,"OPPO A53s 5G (Ink Black, 128 GB)  (6 GB RAM)",Ink Black,6 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,16.56 cm (6.52 inch),5000 mAh,"15,750",http://www.flipkart.com/oppo-a53s-5g-ink-black-128-gb/p/itm7dd84770173a5
1,OPPO,"OPPO A33 (Moonlight Black, 32 GB)  (3 GB RAM)",Moonlight Black,3 GB,32 GB,13MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),5000 mAh,"9,990",https://www.flipkart.com/oppo-a33-moonlight-black-32-gb/p/itmec568a00f8945
2,OPPO,"OPPO A33 (Mint Cream, 32 GB)  (3 GB RAM)",Mint Cream,3 GB,32 GB,13MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),5000 mAh,"9,990",https://www.flipkart.com/oppo-a33-mint-cream-32-gb/p/itmec568a00f8945
3,OPPO,"OPPO A53s 5G (Crystal Blue, 128 GB)  (6 GB RAM)",Crystal Blue,6 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,16.56 cm (6.52 inch),5000 mAh,"15,750",http://www.flipkart.com/oppo-a53s-5g-crystal-blue-128-gb/p/itm7dd84770173a5
4,OPPO,"OPPO A53s 5G (Crystal Blue, 128 GB)  (8 GB RAM)",Crystal Blue,8 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,16.56 cm (6.52 inch),5000 mAh,"15,990",https://dl.flipkart.com/dl/oppo-a53s-5g-ink-black-128-gb/p/itm7dd84770173a5
5,OPPO,"OPPO A53s 5G (Ink Black, 128 GB)  (8 GB RAM)",Ink Black,8 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,16.56 cm (6.52 inch),5000 mAh,"15,990",http://www.flipkart.com/oppo-a53s-5g-ink-black-128-gb/p/itm7dd84770173a5
6,OPPO,"OPPO A12 (Flowing Silver, 64 GB)  (4 GB RAM)",Flowing Silver,4 GB,64 GB,13MP + 2MP,5MP Front Camera,15.8 cm (6.22 inch),4230 mAh,"9,750",http://www.flipkart.com/oppo-a12-flowing-silver-64-gb/p/itmfc859cdf39e01
7,OPPO,"OPPO A12 (Blue, 64 GB)  (4 GB RAM)",Blue,4 GB,64 GB,13MP + 2MP,5MP Front Camera,15.8 cm (6.22 inch),4230 mAh,"9,750",http://www.flipkart.com/oppo-a12-blue-64-gb/p/itmfc859cdf39e01
8,OPPO,"OPPO A12 (Black, 32 GB)  (3 GB RAM)",Black,3 GB,32 GB,13MP + 2MP,5MP Front Camera,15.8 cm (6.22 inch),4230 mAh,"8,750",http://www.flipkart.com/oppo-a12-black-32-gb/p/itmfc859cdf39e01
9,OPPO,"OPPO A53 (Moonlight Black, 64 GB)  (4 GB RAM)",Moonlight Black,4 GB,64 GB,13MP + 2MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch),5000 mAh,"11,990",https://www.flipkart.com/oppo-a53-moonlight-black-64-gb/p/itmf59942b768c29
10,OPPO,"OPPO A12 (Deep Blue, 64 GB)  (4 GB RAM)",Deep Blue,4 GB,64 GB,13MP + 2MP,5MP Front Camera,15.8 cm (6.22 inch),4230 mAh,"11,870",http://www.flipkart.com/oppo-a12-deep-blue-64-gb/p/itmfc859cdf39e01
11,OPPO,"OPPO A12 (Blue, 32 GB)  (3 GB RAM)",Blue,3 GB,32 GB,13MP + 2MP,5MP Front Camera,15.8 cm (6.22 inch),4230 mAh,"8,750",http://www.flipkart.com/oppo-a12-blue-32-gb/p/itmfc859cdf39e01
12,OPPO,"OPPO A53 (Moonlight Black, 128 GB)  (6 GB RAM)",Moonlight Black,6 GB,128 GB,13MP + 2MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch),5000 mAh,"15,910",https://www.flipkart.com/oppo-a53-moonlight-black-128-gb/p/itmf59942b768c29
13,OPPO,"OPPO A12 (Deep Blue, 32 GB)  (3 GB RAM)",Deep Blue,3 GB,32 GB,13MP + 2MP,5MP Front Camera,15.8 cm (6.22 inch),4230 mAh,"8,750",http://www.flipkart.com/oppo-a12-deep-blue-32-gb/p/itmfc859cdf39e01
14,OPPO,"OPPO F17 Pro (Matte Black, 128 GB)  (8 GB RAM)",Matte Black,8 GB,128 GB,48MP + 8MP + 2MP + 2MP,16MP + 2MP Dual Front Camera,16.33 cm (6.43 inch),4015 mAh,"16,990",https://www.flipkart.com/oppo-f17-pro-matte-black-128-gb/p/itm4e2fc7ddc621c
15,OPPO,"OPPO A53 (Mint Cream, 64 GB)  (4 GB RAM)",Mint Cream,4 GB,64 GB,13MP + 2MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch),5000 mAh,"14,489",https://www.flipkart.com/oppo-a53-mint-cream-64-gb/p/itmf59942b768c29
16,OPPO,"OPPO F17 Pro (Magic Blue, 128 GB)  (8 GB RAM)",Magic Blue,8 GB,128 GB,48MP + 8MP + 2MP + 2MP,16MP + 2MP Dual Front Camera,16.33 cm (6.43 inch),4015 mAh,"22,490",https://www.flipkart.com/oppo-f17-pro-magic-blue-128-gb/p/itm4e2fc7ddc621c
17,OPPO,"OPPO A53 (Electric Black, 128 GB)  (6 GB RAM)",Electric Black,6 GB,128 GB,13MP + 2MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch),5000 mAh,"16,990",https://www.flipkart.com/oppo-a53-electric-black-128-gb/p/itmf59942b768c29
18,OPPO,"OPPO A31 (Fantasy White, 128 GB)  (6 GB RAM)",Fantasy White,6 GB,128 GB,12MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),4230 mAh,"13,990",http://www.flipkart.com/oppo-a31-fantasy-white-128-gb/p/itm82e19f459118a
19,OPPO,"OPPO A16 (Crystal Black, 64 GB)  (4 GB RAM)",Crystal Black,4 GB,64 GB,13MP Rear Camera,8MP Front Camera,16.56 cm (6.52 inch),5000 mAh,"13,490",https://www.flipkart.com/oppo-a16-crystal-black-64-gb/p/itmd17bb9a1b2cd3
20,OPPO,"OPPO A16 (Pearl Blue, 64 GB)  (4 GB RAM)",Pearl Blue,4 GB,64 GB,13MP Rear Camera,8MP Front Camera,16.56 cm (6.52 inch),5000 mAh,"13,490",https://www.flipkart.com/oppo-a16-pearl-blue-64-gb/p/itmd17bb9a1b2cd3
21,OPPO,"OPPO A31 (Mystery Black, 128 GB)  (6 GB RAM)",Mystery Black,6 GB,128 GB,12MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),4230 mAh,"13,099",http://www.flipkart.com/oppo-a31-lake-green-128-gb/p/itm82e19f459118a
22,OPPO,"OPPO A31 (Lake Green, 64 GB)  (4 GB RAM)",Lake Green,4 GB,64 GB,12MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),4230 mAh,"11,988",http://www.flipkart.com/oppo-a31-lake-green-64-gb/p/itm82e19f459118a
23,OPPO,"OPPO A74 5G BLACK (Fluid Black, 128 GB)  (6 GB RAM)",Fluid Black,6 GB,128 GB,-,-,16.48 cm (6.49 inch),5000 mAh,"17,711",https://www.flipkart.com/oppo-a74-5g-black-fluid-black-128-gb/p/itm93519bec12f5e
